;num_tipo;codigo;banco;descricao;tipo;unidade;quantidade;valor_unitario;total
; 1 ;;;CENTRO DE EVENTOS;;;;;12.804.373,47
; 1.1 ;;;SERVIÇOS PRELIMINARES;;;;;180.423,83
; 1.1.1 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 99059 ;SINAPI;LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M -  2 UTILIZAÇÕES. AF_03/2024;SERT - SERVIÇOS TÉCNICOS;M;1,0000000;62,56;62,56
;Composição Auxiliar; 91692 ;SINAPI;"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHP DIURNO. AF_08/2015";CHOR - CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS;CHP;0,0070000;29,26;0,20
;Composição Auxiliar; 94974 ;SINAPI;CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MANUAL. AF_05/2021;FUES - FUNDAÇÕES E ESTRUTURAS;m³;0,0040000;434,28;1,73
;Composição Auxiliar; 88262 ;SINAPI;CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES;SEDI - SERVIÇOS DIVERSOS;H;0,7247000;25,69;18,61
;Composição Auxiliar; 91693 ;SINAPI;"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHI DIURNO. AF_08/2015";CHOR - CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS;CHI;0,0280000;27,70;0,77
;Composição Auxiliar; 88239 ;SINAPI;AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES;SEDI - SERVIÇOS DIVERSOS;H;0,7247000;21,39;15,50
;Insumo; 00005068 ;SINAPI;PREGO DE ACO POLIDO COM CABECA 17 X 21 (2 X 11);Material;KG;0,1110000;19,32;2,14
;Insumo; 00004417 ;SINAPI;SARRAFO NAO APARELHADO *2,5 X 7* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM, PEROBA-ROSA OU EQUIVALENTE DA REGIAO - BRUTA;Material;M;0,7445000;8,08;6,01
;Insumo; 00004433 ;SINAPI;CAIBRO NAO APARELHADO *6 X 6* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA;Material;M;0,4125000;29,04;11,97
